run_id,run_name,state,use_self_attention_oe,attention_top_p,masking_probability,attention_filtering_method,oe_source,oe_method,dataset,num_epochs,auroc_ag_news,aupr_ag_news,fpr95_ag_news,auroc_wikitext,aupr_wikitext,fpr95_wikitext,auroc_mean,aupr_mean,fpr95_mean,id_val_f1,val_accuracy,val_auroc,generated_oe,processed_oe,epoch,runtime
zaj1gu3l,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251011_093822,finished,True,0.15,0,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7191053910737959,0.717640470638492,0.8462218294299603,0.824695443868177,0.801256905522534,0.5448519664162615,0.7719004174709865,0.759448688080513,0.6955368979231109,0.7430082559585571,0.7538665533065796,0.9767948985099792,0,0,2,1284
m5pf5vxt,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251011_100152,finished,True,0.15,0,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7190040506702018,0.7176176787319996,0.8462218294299603,0.8245508601375291,0.8014859126068683,0.5399911621741051,0.7717774554038654,0.759551795669434,0.6931064958020328,0.7433418035507202,0.7543084621429443,0.9768140912055968,0,0,2,1274
28dtxbeq,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251011_102517,finished,True,0.15,0,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.7192135071439092,0.7178704448972216,0.8462218294299603,0.8246952888185998,0.8013876238799417,0.5426425099425541,0.7719543979812544,0.7596290343885816,0.6944321696862572,0.7428942918777466,0.7538665533065796,0.9768058061599731,0,0,2,1274
5rdanz38,20newsgroups_Self_Attention_OE_sequential_cross_20251011_104640,finished,True,0.15,0,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.7410157607895125,0.7433875355043684,0.8210340256296951,0.8317436100193036,0.8094939103163903,0.6690234202386213,0.7863796854044081,0.7764407229103794,0.7450287229341581,0.7410396337509155,0.748563826084137,0.9606406092643738,9051,9051,3,1639
mcy4w1vj,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251011_122908,finished,True,0.15,0,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.7191890558256002,0.7175204291578894,0.8448961555457357,0.8247590141947888,0.801424743362283,0.5426425099425541,0.7719740350101945,0.7594725862600862,0.693769332744145,0.7425805330276489,0.7534246444702148,0.9767779111862184,0,0,2,1573
ofqo01mw,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251011_125728,finished,True,0.15,0,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7191053910737959,0.717640470638492,0.8462218294299603,0.824695443868177,0.801256905522534,0.5448519664162615,0.7719004174709865,0.759448688080513,0.6955368979231109,0.7430082559585571,0.7538665533065796,0.9767948985099792,0,0,2,1547
uxnr3oxd,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251011_132523,finished,True,0.15,0,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7190040506702018,0.7176176787319996,0.8462218294299603,0.8245508601375291,0.8014859126068683,0.5399911621741051,0.7717774554038654,0.759551795669434,0.6931064958020328,0.7433418035507202,0.7543084621429443,0.9768140912055968,0,0,2,1478
gyygnf2y,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251011_135204,finished,True,0.15,0,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.7192135071439092,0.7178704448972216,0.8462218294299603,0.8246952888185998,0.8013876238799417,0.5426425099425541,0.7719543979812544,0.7596290343885816,0.6944321696862572,0.7428942918777466,0.7538665533065796,0.9768058061599731,0,0,2,1485
3mgmblxf,20newsgroups_Self_Attention_OE_sequential_cross_20251011_141658,finished,True,0.15,0,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.7549598615407276,0.7454854932740079,0.7490057445868317,0.831068756734966,0.8021996938009447,0.5607600530269554,0.7930143091378468,0.7738425935374763,0.6548828988068935,0.7463628053665161,0.7560759782791138,0.9603897929191588,9051,9051,4,1676
52hp05jq,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251011_155703,finished,True,0.15,0.05,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.7551881720430107,0.7528659387181025,0.7070260715863897,0.8425963051685776,0.824050771060451,0.4993371630578878,0.7988922386057942,0.7884583548892767,0.6031816173221387,0.734183132648468,0.7423774003982544,0.9668437242507936,1231,9051,4,1650
7y81qvlb,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251011_162441,finished,True,0.15,0.05,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7881110620120784,0.7943921541426789,0.658859920459567,0.8388420897582002,0.8273875621806235,0.5125939019001325,0.8134765758851392,0.8108898581616513,0.5857269111798498,0.7303458452224731,0.7397260069847107,0.9650592803955078,1231,9051,4,1659
pul94k0q,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251011_165228,finished,True,0.15,0.05,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7525537634408602,0.7492546820906143,0.7167476800707026,0.8439477172826012,0.8293009150326153,0.4993371630578878,0.7982507403617307,0.7892777985616148,0.6080424215642952,0.7317028045654297,0.7401679158210754,0.9649385213851928,1229,9051,4,1603
